horizon,bh,up95,low95,seh
-3,-.39700758,.44084433,-1.2348595,.42747545
-2,.043577302,.53984308,-.45268846,.25319681
-1,0,0,0,0
0,-.92360759,.14701264,-1.9942278,.54623479
1,-1.4180208,.065449886,-2.9014916,.75687283
2,-1.4498981,.36430615,-3.2641025,.92561442
3,-.98551917,.79285628,-2.7638946,.90733439
4,-1.6589212,.54369974,-3.8615422,1.1237862
5,-.04865887,2.8344831,-2.9318008,1.4709908
6,.75993133,3.1803014,-1.6604388,1.2348827
7,1.2490226,4.1952424,-1.6971971,1.5031734
8,1.5404396,5.2936311,-2.2127521,1.9148937
9,.52173758,4.2920485,-3.2485735,1.9236281
