horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.060654715,.21326745,-.091958016,.077863641,-.0053587668,.0070463452,,
-2,.041486349,.14168271,-.058710024,.051120598,-.0079789935,.004953458,,
-1,0,0,0,0,0,0,,
0,.11586645,.21558179,.016151104,.050875176,.0021926113,.0030892116,.0044645052,.0028570564
1,.0213251,.21148172,-.16883153,.097018689,.0077204262,.0045284219,.0092311669,.0046815039
2,.078968205,.36172107,-.20378464,.14426166,.0077645164,.0089363744,.01140828,.0069705606
3,.2303538,.47180033,-.011092708,.123187,.0070628268,.0090253027,.012404192,.0073776953
4,.2711693,.63095033,-.088611715,.18356174,-.0037512272,.0099609802,.0033522744,.0044710967
5,.39073554,.75325376,.028217336,.18495826,-.014863722,.0096798223,-.0048708012,.006356549
6,.21866846,.52646708,-.089130186,.15704013,-.0063487282,.0082010664,.0027924436,.007870419
7,-.056715764,.18115984,-.29459137,.12136511,.0085858181,.0049704928,.0102963,.006929962
8,-.0020663075,.33415395,-.33828655,.17154095,.0062683667,.0059111128,.008333832,.0072291479
9,.073534191,.47006664,-.32299826,.20231247,.0042721676,.0086515294,.010137266,.0088049984
