horizon,bh,up95,low95,seh
-3,-.042106163,.24608666,-.33029899,.14703715
-2,.032635514,.33904099,-.27376997,.15632933
-1,0,0,0,0
0,.25877264,.58770585,-.070160568,.16782306
1,.27609622,.79773206,-.24553964,.26614073
2,.27825809,.84689301,-.29037684,.29011986
3,.51473331,1.2185138,-.18904728,.35907173
4,.24832784,1.0106971,-.51404142,.38896391
5,.72171152,1.5344477,-.091024578,.41466126
6,.80357718,1.5990268,.008127545,.40584165
7,.77798957,1.5350667,.020912351,.38626388
8,.70314616,1.3234922,.082800098,.31650308
9,.51663214,1.115768,-.082503632,.30568153
