horizon,bh,up95,low95,seh
-3,-.038865246,.23314229,-.31087276,.13877936
-2,-.13717252,.046202511,-.32054755,.093558691
-1,0,0,0,0
0,.65143549,.86978984,.43308115,.11140527
1,.76256412,1.1146424,.41048592,.17963174
2,.56781471,1.001883,.13374637,.22146343
3,.43312564,.8930589,-.026807623,.23465984
4,.41763586,.89811319,-.062841497,.24514151
5,.23636071,.84544152,-.37272006,.31075549
6,.086852953,.69679981,-.52309388,.31119737
7,-.014043375,.54703861,-.5751254,.28626633
8,-.13362792,.47100115,-.73825699,.30848423
9,-.24452838,.32535851,-.81441528,.29075861
