horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.031475782,.1738036,-.11085204,.072616234,-.0064895349,.034304675,,
-2,.0069508869,.1121634,-.098261625,.053679854,-.0019894545,.025059871,,
-1,0,0,0,0,0,0,,
0,.07376755,.16993642,-.022401316,.049065746,-.027251225,.014962459,-.02309558,.017122164
1,.073427036,.17973332,-.032879245,.054237898,-.013608394,.025992893,-.0066536297,.022207778
2,.016577579,.10002482,-.066869661,.042575125,.030806566,.036131825,.031969845,.033152554
3,-.038456589,.065182202,-.14209539,.052876934,.011418405,.043393146,.0098325117,.040149052
4,.023047199,.14184456,-.095750153,.060610894,-.0063367286,.047240704,-.014294688,.049013689
5,.16610228,.31703156,.015172986,.077004738,-.00046436038,.061150234,.010044668,.063202903
6,.073897049,.21254236,-.064748257,.070737399,.035956196,.070672326,.036863297,.069509864
7,.021408875,.17348516,-.13066742,.077589944,.034359671,.073272131,.031831529,.074640945
8,.042851843,.18733193,-.10162825,.073714331,.021514287,.090288498,.01926692,.08873827
9,.059906192,.20838895,-.08857657,.075756513,.11777803,.10336743,.12141866,.09555693
