horizon,bh,up95,low95,seh
-3,.14093257,.29994032,-.018075177,.081126407
-2,.12038811,.21361499,.027161239,.04756473
-1,0,0,0,0
0,.090572946,.1804691,.00067679671,.045865383
1,.23476189,.43070048,.038823307,.099968664
2,.20655741,.45407611,-.040961299,.12628506
3,.18775542,.46891814,-.093407311,.14345038
4,.26017526,.58649606,-.066145539,.1664902
5,.49647757,.91122007,.081735089,.21160331
6,.51177782,.9720248,.051530834,.23481989
7,.49125507,.96518558,.017324565,.24180128
8,.46129638,.95475078,-.032157999,.25176245
9,.51963651,1.0064533,.032819748,.24837589
