horizon,bh,up95,low95,seh
-3,.15438659,.2885932,.020179985,.068472758
-2,.018830506,.11374933,-.076088317,.048427969
-1,0,0,0,0
0,-.0058469977,.11973949,-.13143349,.06407474
1,.018168215,.24451627,-.20817985,.1154837
2,.078726292,.28876519,-.13131261,.10716271
3,.28079513,.635252,-.073661737,.18084534
4,.22274081,.61538732,-.16990568,.20032984
5,.31148556,.68403882,-.061067682,.19007818
6,.32857665,.69245619,-.035302889,.18565282
7,.50455344,.82159358,.18751331,.16175517
8,.59363127,.88475281,.30250973,.14853139
9,.59102589,.98402816,.19802365,.20051135
