horizon,bh,up95,low95,seh
-3,.017882025,.10885637,-.073092319,.046415482
-2,-.00034962897,.046215221,-.046914481,.023757577
-1,0,0,0,0
0,.031294566,.085489295,-.022900164,.027650373
1,.091495447,.21462287,-.031631969,.062820107
2,.19632706,.33099958,.061654534,.068710476
3,.36114472,.53662407,.18566535,.089530289
4,.41517815,.62442321,.20593312,.10675767
5,.35517645,.63433826,.07601463,.1424295
6,.35350254,.62098271,.086022347,.13646948
7,.35435838,.66119993,.047516812,.15655182
8,.37848437,.78584862,-.028879888,.20783891
9,.32961118,.73561138,-.076389037,.20714296
