horizon,bh,up95,low95,seh
-3,-.075965777,.26509067,-.41702223,.1740084
-2,.051498372,.27895409,-.17595734,.11604883
-1,0,0,0,0
0,-.0064310222,.094440743,-.10730278,.051465183
1,-.0058195945,.16972403,-.18136322,.089563079
2,-.20088953,-.065548547,-.33623052,.069051519
3,-.31907356,-.097296357,-.54085076,.11315163
4,-.26033384,.055182435,-.57585013,.16097769
5,-.30978036,.28604579,-.90560651,.30399293
6,-.14785768,.2242748,-.51999015,.18986352
7,-.43540508,-.25081584,-.61999428,.094178177
8,-.47067612,-.18258533,-.75876689,.1469851
9,-.48231098,-.091707245,-.87291473,.19928762
